"subject","media","auc","missingDay"
"R_2aLBAMhzkKU1kch","netflix",8184.19248403098,14
"R_2bVs5Xwo8nJSKj8","facebook",8267.82039977082,14
"R_2bVs5Xwo8nJSKj8","instagram",5485.88975662795,1
"R_2bVs5Xwo8nJSKj8","netflix",8014.52747705454,3
"R_2ccEXc6UxKar7GP","facebook",6877.42331800816,7
"R_2ccEXc6UxKar7GP","instagram",7312.29581136435,30
"R_2ccEXc6UxKar7GP","netflix",5669.77515943756,7
"R_2cnC3uh7kh3R9gp","facebook",8619.15458386945,3
"R_2cnC3uh7kh3R9gp","instagram",8865.6147503331,14
"R_2cnC3uh7kh3R9gp","netflix",2874.53118347847,90
"R_2dAWLOKfxaPIGpo","facebook",-11780.5758782684,30
"R_2dAWLOKfxaPIGpo","instagram",93.1374067403239,1
"R_2dAWLOKfxaPIGpo","netflix",8822.49103193649,7
"R_2dms3yzc7t6ujuD","facebook",8471.26143200343,1
"R_2dms3yzc7t6ujuD","instagram",2568.95421213039,90
"R_2dms3yzc7t6ujuD","netflix",72.6028004891248,14
"R_2f9vRS2a0P418I2","facebook",2886.28488973062,90
"R_2f9vRS2a0P418I2","instagram",5881.76688732742,30
"R_2f9vRS2a0P418I2","netflix",-1027.81142927364,1
"R_2fqFOdjbJwqknmy","facebook",7584.80714478209,30
"R_2fqFOdjbJwqknmy","instagram",1238.66243528075,90
"R_2fqFOdjbJwqknmy","netflix",694.008453242299,90
"R_2fxsR9B7rW9apUs","facebook",9809.02587887624,7
"R_2fxsR9B7rW9apUs","instagram",3463.94634667799,1
"R_2fxsR9B7rW9apUs","netflix",912.848815150722,90
"R_2pLyioVoqpiYQK6","facebook",8102.56840487269,14
"R_2pLyioVoqpiYQK6","instagram",8434.02951967658,7
"R_2pLyioVoqpiYQK6","netflix",8695.89962896944,1
"R_2pVNmIj2kJLq51i","facebook",-3522.10851873544,30
"R_2pVNmIj2kJLq51i","instagram",1412.45249557187,3
"R_2pVNmIj2kJLq51i","netflix",1057.70360611412,90
"R_2q8dbhJhFVzcmFC","facebook",8576.61465890671,1
"R_2q8dbhJhFVzcmFC","instagram",4738.45775507455,7
"R_2q8dbhJhFVzcmFC","netflix",8020.8471302816,7
"R_2qxTacjFyVkIX1z","facebook",9100.50624104193,30
"R_2qxTacjFyVkIX1z","instagram",41.2539366288695,1
"R_2qxTacjFyVkIX1z","netflix",-283.089582064019,1
"R_2sTLUlHFqniMpAx","facebook",2226.77028639066,7
"R_2sTLUlHFqniMpAx","instagram",-703.161606367331,1
"R_2sTLUlHFqniMpAx","netflix",5322.92485487097,3
"R_2thrEw9HpdY2NYz","facebook",106.350123940877,1
"R_2thrEw9HpdY2NYz","instagram",-172.255458110403,1
"R_2thrEw9HpdY2NYz","netflix",5.61527459136388,90
"R_2tlkgnfglKX0TqF","facebook",-1280.94092794609,7
"R_2tlkgnfglKX0TqF","instagram",66.275810872181,90
"R_2tlkgnfglKX0TqF","netflix",2695.33317352403,90
"R_2uvAwK8uCSjAaVm","facebook",6559.33727239264,1
"R_2uvAwK8uCSjAaVm","instagram",1125.83228748394,3
"R_2uvAwK8uCSjAaVm","netflix",3089.39250145492,1
"R_2w5388DlQRrEMQr","facebook",7925.28651051473,3
"R_2w5388DlQRrEMQr","instagram",-625.358242130162,3
"R_2w5388DlQRrEMQr","netflix",377.265903762906,7
"R_2wpBhEmtOqxwe1q","facebook",7885.82473345641,1
"R_2wpBhEmtOqxwe1q","instagram",8661.40005702558,1
"R_2wpBhEmtOqxwe1q","netflix",8727.54306805938,30
"R_2y16bo2K4WYDSY2","facebook",8878.38163236558,14
"R_2y16bo2K4WYDSY2","instagram",2012.67208797521,30
"R_2y16bo2K4WYDSY2","netflix",2604.33967792466,90
"R_2yg8gR1HZ6xhud8","facebook",6209.17250567771,14
"R_2yg8gR1HZ6xhud8","instagram",8610.55830209899,7
"R_2yg8gR1HZ6xhud8","netflix",4321.20651615427,1
"R_2ym6ASPLsi4qyfz","facebook",1071.66459460046,3
"R_2ym6ASPLsi4qyfz","instagram",2893.95140109035,90
"R_2ym6ASPLsi4qyfz","netflix",2826.12804352379,90
"R_307yQJ7Tlsn01km","facebook",8926.87804324071,7
"R_307yQJ7Tlsn01km","instagram",1054.04509848832,90
"R_307yQJ7Tlsn01km","netflix",8849.12404013418,3
"R_31TSEFybyO5Kwcu","facebook",8787.51650840025,3
"R_31TSEFybyO5Kwcu","instagram",6416.45657534195,14
"R_31TSEFybyO5Kwcu","netflix",-1665.04423715264,1
"R_33Eb2PsBJujr4NX","facebook",7567.58396561203,1
"R_33Eb2PsBJujr4NX","instagram",8209.47647051641,3
"R_33Eb2PsBJujr4NX","netflix",6134.09523462821,30
"R_33ex8PkAnSQJSbe","facebook",4241.14548965586,1
"R_33ex8PkAnSQJSbe","instagram",1982.94954140327,90
"R_33ex8PkAnSQJSbe","netflix",6856.62475524292,14
"R_33xJrUdRbZ9xTWe","facebook",8848.21383014539,3
"R_33xJrUdRbZ9xTWe","instagram",3369.20384192329,14
"R_33xJrUdRbZ9xTWe","netflix",2253.35697740471,90
"R_37qocX8tUVIZPdT","facebook",8740.21341927523,14
"R_37qocX8tUVIZPdT","instagram",5762.33835442619,1
"R_37qocX8tUVIZPdT","netflix",2160.8977659647,90
"R_3C4jHgPQAKgsQWB","facebook",8519.64828127506,1
"R_3C4jHgPQAKgsQWB","instagram",8945.31436440358,3
"R_3C4jHgPQAKgsQWB","netflix",8865.22944287904,30
"R_3DtlRlkvYQghovn","facebook",1596.32444346652,7
"R_3DtlRlkvYQghovn","instagram",3867.41363750879,3
"R_3DtlRlkvYQghovn","netflix",1632.83981480262,90
